zip,lat,lon,state,city
01590,42.1266,-71.7552,MA,Sutton
01601,42.2653,-71.8794,MA,Worcester
01602,42.2746,-71.8470,MA,Worcester
01603,42.2454,-71.8393,MA,Worcester
01604,42.2480,-71.7668,MA,Worcester
01605,42.2888,-71.7961,MA,Worcester
01606,42.3118,-71.7945,MA,Worcester
01607,42.2265,-71.7925,MA,Worcester
01608,42.2935,-71.9257,MA,Worcester
01609,42.2826,-71.8277,MA,Worcester
01610,42.2465,-71.8089,MA,Worcester
01611,42.2394,-71.8787,MA,Cherry Valley
01612,42.3047,-71.8929,MA,Paxton
01613,42.2933,-71.8020,MA,Worcester
01614,42.3648,-71.8969,MA,Worcester
01615,42.3648,-71.8969,MA,Worcester
01653,42.3648,-71.8969,MA,Worcester
01654,42.3648,-71.8969,MA,Worcester
01655,42.3648,-71.8969,MA,Worcester
01701,42.4464,-71.4594,MA,Framingham
01702,42.4464,-71.4594,MA,Framingham
01703,42.4464,-71.4594,MA,Framingham
01704,42.4464,-71.4594,MA,Framingham
01705,42.4464,-71.4594,MA,Framingham
01718,42.4464,-71.4594,MA,Village Of Nagog Woods
01719,42.4464,-71.4594,MA,Boxborough
01720,42.4464,-71.4594,MA,Acton
01721,42.4464,-71.4594,MA,Ashland
01730,42.4464,-71.4594,MA,Bedford
01731,42.4464,-71.4594,MA,Hanscom Afb
01740,42.4360,-71.6059,MA,Bolton
01741,42.4464,-71.4594,MA,Carlisle
01742,42.4464,-71.4594,MA,Concord
01745,42.2934,-71.5028,MA,Fayville
01746,42.4464,-71.4594,MA,Holliston
01747,42.1275,-71.5331,MA,Hopedale
01748,42.4464,-71.4594,MA,Hopkinton
01749,42.4464,-71.4594,MA,Hudson
01752,42.4464,-71.4594,MA,Marlborough
01754,42.4464,-71.4594,MA,Maynard
01756,42.1004,-71.5470,MA,Mendon
01757,42.1471,-71.5281,MA,Milford
01760,42.4464,-71.4594,MA,Natick
01770,42.4464,-71.4594,MA,Sherborn
01772,42.2968,-71.5332,MA,Southborough
01773,42.4464,-71.4594,MA,Lincoln
01775,42.4464,-71.4594,MA,Stow
01776,42.4464,-71.4594,MA,Sudbury
01778,42.4464,-71.4594,MA,Wayland
01784,42.4464,-71.4594,MA,Woodville
01801,42.4886,-71.1573,MA,Woburn
01803,42.5048,-71.2015,MA,Burlington
01805,42.4464,-71.4594,MA,Burlington
01806,42.4464,-71.4594,MA,Woburn
01807,42.4464,-71.4594,MA,Woburn
01808,42.4464,-71.4594,MA,Woburn
01810,42.6480,-71.1657,MA,Andover
01812,42.6472,-71.1842,MA,Andover
01813,42.4464,-71.4594,MA,Woburn
01815,42.4464,-71.4594,MA,Woburn
01821,42.4464,-71.4594,MA,Billerica
01822,42.4464,-71.4594,MA,Billerica
01824,42.4464,-71.4594,MA,Chelmsford
01826,42.4464,-71.4594,MA,Dracut
01827,42.4464,-71.4594,MA,Dunstable
01830,42.7926,-71.0725,MA,Haverhill
01831,42.7711,-71.1221,MA,Haverhill
01832,42.7896,-71.1266,MA,Haverhill
01833,42.7238,-70.9813,MA,Georgetown
01834,42.7511,-71.0214,MA,Groveland
01835,42.7528,-71.0843,MA,Haverhill
01840,42.7073,-71.1611,MA,Lawrence
01841,42.7098,-71.1644,MA,Lawrence
01842,42.6354,-70.8791,MA,Lawrence
01843,42.7104,-71.0883,MA,Lawrence
01844,42.7318,-71.1869,MA,Methuen
01845,42.6728,-71.0877,MA,North Andover
01850,42.4464,-71.4594,MA,Lowell
01851,42.4464,-71.4594,MA,Lowell
01852,42.4464,-71.4594,MA,Lowell
01853,42.4464,-71.4594,MA,Lowell
01854,42.4464,-71.4594,MA,Lowell
01860,42.8024,-71.0896,MA,Merrimac
01862,42.4464,-71.4594,MA,North Billerica
01863,42.4464,-71.4594,MA,North Chelmsford
01864,42.5813,-71.0837,MA,North Reading
01865,42.4464,-71.4594,MA,Nutting Lake
01866,42.4464,-71.4594,MA,Pinehurst
01867,42.5371,-71.1072,MA,Reading
01876,42.4464,-71.4594,MA,Tewksbury
01879,42.4464,-71.4594,MA,Tyngsboro
01880,42.4999,-71.0688,MA,Wakefield
01885,42.6354,-70.8791,MA,West Boxford
01886,42.4464,-71.4594,MA,Westford
01887,42.5618,-71.1739,MA,Wilmington
01888,42.4464,-71.4594,MA,Woburn
01889,42.5716,-71.1096,MA,North Reading
01890,42.4545,-71.1488,MA,Winchester
01899,42.6354,-70.8791,MA,Andover
01901,42.4612,-70.9467,MA,Lynn
01902,42.4732,-70.9286,MA,Lynn
01903,42.6354,-70.8791,MA,Lynn
01904,42.4889,-70.9647,MA,Lynn
01905,42.4694,-70.9728,MA,Lynn
01906,42.4721,-70.9978,MA,Saugus
01907,42.5133,-70.9059,MA,Swampscott
01908,42.4273,-70.9224,MA,Nahant
01910,42.4548,-70.9747,MA,Lynn
01913,42.8535,-70.9482,MA,Amesbury
01915,42.5651,-70.8538,MA,Beverly
01921,42.6833,-71.0174,MA,Boxford
01922,42.7632,-70.9281,MA,Byfield
01923,42.5772,-70.9492,MA,Danvers
01929,42.6278,-70.7806,MA,Essex
01930,42.6300,-70.6942,MA,Gloucester
01931,42.6354,-70.8791,MA,Gloucester
01936,42.6354,-70.8791,MA,Hamilton
01937,42.6354,-70.8791,MA,Hathorne
01938,42.6857,-70.8641,MA,Ipswich
01940,42.5337,-71.0288,MA,Lynnfield
01944,42.5795,-70.7551,MA,Manchester
01945,42.5614,-70.7708,MA,Marblehead
01949,42.6449,-71.0879,MA,Middleton
01950,42.8096,-70.8732,MA,Newburyport
01951,42.7775,-70.8672,MA,Newbury
01952,42.8512,-70.8657,MA,Salisbury
01960,42.5370,-70.9736,MA,Peabody
01961,42.6354,-70.8791,MA,Peabody
01965,42.5581,-70.8257,MA,Prides Crossing
01966,42.6579,-70.6181,MA,Rockport
01969,42.7162,-70.8928,MA,Rowley
01970,42.5129,-70.9042,MA,Salem
01971,42.6354,-70.8791,MA,Salem
01982,42.6267,-70.8511,MA,South Hamilton
01983,42.6618,-70.9545,MA,Topsfield
01984,42.5977,-70.8732,MA,Wenham
01985,42.7941,-70.9711,MA,West Newbury
02018,41.9705,-70.7014,MA,Accord
02019,42.0765,-71.4705,MA,Bellingham
02020,42.0818,-70.6439,MA,Brant Rock
02021,42.1791,-71.1212,MA,Canton
02025,42.2339,-70.8158,MA,Cohasset
02026,42.2447,-71.1811,MA,Dedham
02027,42.1800,-71.0892,MA,Dedham
02030,42.2361,-71.2831,MA,Dover
02031,41.9988,-71.2009,MA,East Mansfield
02032,42.1538,-71.2146,MA,East Walpole
02035,42.0622,-71.2358,MA,Foxboro
02038,42.0887,-71.4048,MA,Franklin
02040,41.9705,-70.7014,MA,Greenbush
02041,42.0696,-70.6491,MA,Green Harbor
02043,42.2121,-70.8850,MA,Hingham
02044,41.9705,-70.7014,MA,Hingham
02045,42.2844,-70.8737,MA,Hull
02047,42.1428,-70.6935,MA,Humarock
02048,42.0132,-71.2184,MA,Mansfield
02050,42.1118,-70.7107,MA,Marshfield
02051,42.1512,-70.7341,MA,Marshfield Hills
02052,42.1813,-71.3099,MA,Medfield
02053,42.1563,-71.4277,MA,Medway
02054,42.1652,-71.3613,MA,Millis
02055,41.9705,-70.7014,MA,Minot
02056,42.1175,-71.3318,MA,Norfolk
02059,41.9705,-70.7014,MA,North Marshfield
02060,41.9705,-70.7014,MA,North Scituate
02061,42.1541,-70.8230,MA,Norwell
02062,42.1828,-71.1963,MA,Norwood
02065,42.0972,-70.6516,MA,Ocean Bluff
02066,42.2073,-70.7702,MA,Scituate
02067,42.1053,-71.1848,MA,Sharon
02070,42.1800,-71.0892,MA,Sheldonville
02071,42.1004,-71.2709,MA,South Walpole
02072,42.1184,-71.1057,MA,Stoughton
02081,42.1486,-71.2555,MA,Walpole
02090,42.2205,-71.1992,MA,Westwood
02093,42.0543,-71.3712,MA,Wrentham
02101,42.3706,-71.0270,MA,Boston
02102,42.3389,-70.9196,MA,Boston
02103,42.3389,-70.9196,MA,Boston
02104,42.3389,-70.9196,MA,Boston
02105,42.3389,-70.9196,MA,Boston
02106,42.3543,-71.0734,MA,Boston
02107,42.3389,-70.9196,MA,Boston
02108,42.3538,-71.1024,MA,Boston
02109,42.3600,-71.0545,MA,Boston
02110,42.3528,-71.0515,MA,Boston
02111,42.3510,-71.0594,MA,Boston
02112,42.3389,-70.9196,MA,Boston
02113,42.3654,-71.0550,MA,Boston
02114,42.3621,-71.0237,MA,Boston
02115,42.3420,-71.0968,MA,Boston
02116,42.3472,-71.0861,MA,Boston
02117,42.3389,-70.9196,MA,Boston
02118,42.3362,-71.0729,MA,Boston
02119,42.3231,-71.0846,MA,Boston
02120,42.3325,-71.0964,MA,Boston
02121,42.3071,-71.0816,MA,Boston
02122,42.2966,-71.0552,MA,Boston
02123,42.3389,-70.9196,MA,Boston
02124,42.2868,-71.0710,MA,Boston
02125,42.3148,-71.0672,MA,Boston
02126,42.3012,-71.1052,MA,Mattapan
02127,42.3290,-71.0203,MA,Boston
02128,42.3642,-71.0257,MA,Boston
02129,42.3826,-71.0653,MA,Charlestown
02130,42.3097,-71.1211,MA,Jamaica Plain
02131,42.2842,-71.1209,MA,Roslindale
02132,42.2779,-71.1558,MA,West Roxbury
02133,42.3389,-70.9196,MA,Boston
02134,42.3572,-71.1126,MA,Allston
02135,42.3498,-71.1049,MA,Brighton
02136,42.2542,-71.1293,MA,Hyde Park
02137,42.3389,-70.9196,MA,Readville
02138,42.3804,-71.1329,MA,Cambridge
02139,42.3651,-71.1018,MA,Cambridge
02140,42.3932,-71.1338,MA,Cambridge
02141,42.3687,-71.0836,MA,Cambridge
02142,42.3628,-71.0848,MA,Cambridge
02143,42.3809,-71.0989,MA,Somerville
02144,42.4027,-71.1202,MA,Somerville
02145,42.3910,-71.0951,MA,Somerville
02148,42.4365,-71.0854,MA,Malden
02149,42.4074,-71.0512,MA,Everett
02150,42.3782,-71.0389,MA,Chelsea
02151,42.3663,-71.0205,MA,Revere
02152,42.3784,-70.9817,MA,Winthrop
02153,42.4464,-71.4594,MA,Medford
02155,42.4221,-71.1093,MA,Medford
02156,42.4464,-71.4594,MA,West Medford
02163,42.3253,-71.1122,MA,Boston
02169,42.2418,-71.0060,MA,Quincy
02170,42.2672,-71.0167,MA,Quincy
02171,42.2849,-71.0142,MA,Quincy
02176,42.4590,-71.0531,MA,Melrose
02177,42.4464,-71.4594,MA,Melrose
02180,42.4746,-71.0981,MA,Stoneham
02184,42.2022,-71.0052,MA,Braintree
02185,42.1800,-71.0892,MA,Braintree
02186,42.2406,-71.0785,MA,Milton
02187,42.1800,-71.0892,MA,Milton Village
02188,42.2079,-70.9551,MA,Weymouth
02189,42.2106,-70.9323,MA,Weymouth
02190,42.1678,-70.9507,MA,Weymouth
02191,42.2515,-70.9448,MA,Weymouth
02196,42.3389,-70.9196,MA,Boston
02199,42.3472,-71.0824,MA,Boston
02201,42.3389,-70.9196,MA,Boston
02202,42.3611,-71.0618,MA,Boston
02203,42.3615,-71.0604,MA,Boston
02204,42.3389,-70.9196,MA,Boston
02205,42.3503,-71.0539,MA,Boston
02206,42.3389,-70.9196,MA,Boston
02207,42.3389,-70.9196,MA,Boston
02208,42.3389,-70.9196,MA,Boston
02209,42.3389,-70.9196,MA,Boston
02210,42.3475,-71.0406,MA,Boston
02211,42.3389,-70.9196,MA,Boston
02212,42.4464,-71.4594,MA,Boston
02215,42.3451,-71.1077,MA,Boston
02216,42.3389,-70.9196,MA,Boston
02217,42.3389,-70.9196,MA,Boston
02222,42.3644,-71.0633,MA,Boston
02228,42.3600,-71.0200,MA,East Boston
02238,42.4464,-71.4594,MA,Cambridge
02239,42.4464,-71.4594,MA,Cambridge
02241,42.3389,-70.9196,MA,Boston
02266,42.3389,-70.9196,MA,Boston
02269,42.1800,-71.0892,MA,Quincy
02283,42.3389,-70.9196,MA,Boston
